KE     PKE
0.000000000000000000e+00 3.771919621797855532e-02
1.500150015001500137e-02 3.777986612446605774e-02
3.000300030003000273e-02 3.784064821699358733e-02
4.500450045004500410e-02 3.790154270584697449e-02
6.000600060006000547e-02 3.796254980170666454e-02
7.500750075007500683e-02 3.802366971564853648e-02
9.000900090009000820e-02 3.808490265914454831e-02
1.050105010501050096e-01 3.814624884406358357e-02
1.200120012001200109e-01 3.820770848267211056e-02
1.350135013501350123e-01 3.826928178763498029e-02
1.500150015001500137e-01 3.833096897201615505e-02
1.650165016501650150e-01 3.839277024927947174e-02
1.800180018001800164e-01 3.845468583328933571e-02
1.950195019501950178e-01 3.851671593831156731e-02
2.100210021002100191e-01 3.857886077901407501e-02
2.250225022502250205e-01 3.864112057046767412e-02
2.400240024002400219e-01 3.870349552814676686e-02
2.550255025502550232e-01 3.876598586793017498e-02
2.700270027002700246e-01 3.882859180610184063e-02
2.850285028502850260e-01 3.889131355935163820e-02
3.000300030003000273e-01 3.895415134477609592e-02
3.150315031503150287e-01 3.901710537987917310e-02
3.300330033003300301e-01 3.908017588257303027e-02
3.450345034503450314e-01 3.914336307117878555e-02
3.600360036003600328e-01 3.920666716442729183e-02
3.750375037503750342e-01 3.927008838145990000e-02
3.900390039003900355e-01 3.933362694182922226e-02
4.050405040504050369e-01 3.939728306549993703e-02
4.200420042004200383e-01 3.946105697284950364e-02
4.350435043504350396e-01 3.952494888466898809e-02
4.500450045004500410e-01 3.958895902216383322e-02
4.650465046504650424e-01 3.965308760695460816e-02
4.800480048004800437e-01 3.971733486107781319e-02
4.950495049504950451e-01 3.978170100698664308e-02
5.100510051005100465e-01 3.984618626755179194e-02
5.250525052505250478e-01 3.991079086606221654e-02
5.400540054005400492e-01 3.997551502622592734e-02
5.550555055505550506e-01 4.004035897217075868e-02
5.700570057005700519e-01 4.010532292844522922e-02
5.850585058505850533e-01 4.017040712001920810e-02
6.000600060006000547e-01 4.023561177228480307e-02
6.150615061506150560e-01 4.030093711105714460e-02
6.300630063006300574e-01 4.036638336257513532e-02
6.450645064506450588e-01 4.043195075350224793e-02
6.600660066006600601e-01 4.049763951092739261e-02
6.750675067506750615e-01 4.056344986236562478e-02
6.900690069006900629e-01 4.062938203575901241e-02
7.050705070507050642e-01 4.069543625947740634e-02
7.200720072007200656e-01 4.076161276231923813e-02
7.350735073507350670e-01 4.082791177351233203e-02
7.500750075007500683e-01 4.089433352271473754e-02
7.650765076507650697e-01 4.096087824001546501e-02
7.800780078007800711e-01 4.102754615593541543e-02
7.950795079507950724e-01 4.109433750142805347e-02
8.100810081008100738e-01 4.116125250788030265e-02
8.250825082508250752e-01 4.122829140711336410e-02
8.400840084008400765e-01 4.129545443138346594e-02
8.550855085508550779e-01 4.136274181338275846e-02
8.700870087008700793e-01 4.143015378624007733e-02
8.850885088508850806e-01 4.149769058352176937e-02
9.000900090009000820e-01 4.156535243923255296e-02
9.150915091509150834e-01 4.163313958781631602e-02
9.300930093009300847e-01 4.170105226415690008e-02
9.450945094509450861e-01 4.176909070357899545e-02
9.600960096009600875e-01 4.183725514184893218e-02
9.750975097509750888e-01 4.190554581517549892e-02
9.900990099009900902e-01 4.197396296021081025e-02
1.005100510051005092e+00 4.204250681405110462e-02
1.020102010201020093e+00 4.211117761423757710e-02
1.035103510351035094e+00 4.217997559875726055e-02
1.050105010501050096e+00 4.224890100604379584e-02
1.065106510651065097e+00 4.231795407497833394e-02
1.080108010801080098e+00 4.238713504489030615e-02
1.095109510951095100e+00 4.245644415555835383e-02
1.110111011101110101e+00 4.252588164721108482e-02
1.125112511251125103e+00 4.259544776052796855e-02
1.140114011401140104e+00 4.266514273664017559e-02
1.155115511551155105e+00 4.273496681713139650e-02
1.170117011701170107e+00 4.280492024403875773e-02
1.185118511851185108e+00 4.287500325985358490e-02
1.200120012001200109e+00 4.294521610752230489e-02
1.215121512151215111e+00 4.301555903044732704e-02
1.230123012301230112e+00 4.308603227248784806e-02
1.245124512451245113e+00 4.315663607796071249e-02
1.260126012601260115e+00 4.322737069164130086e-02
1.275127512751275116e+00 4.329823635876438315e-02
1.290129012901290118e+00 4.336923332502495843e-02
1.305130513051305119e+00 4.344036183657914996e-02
1.320132013201320120e+00 4.351162214004504480e-02
1.335133513351335122e+00 4.358301448250358895e-02
1.350135013501350123e+00 4.365453911149940608e-02
1.365136513651365124e+00 4.372619627504171352e-02
1.380138013801380126e+00 4.379798622160521043e-02
1.395139513951395127e+00 4.386990920013088963e-02
1.410141014101410128e+00 4.394196546002696047e-02
1.425142514251425130e+00 4.401415525116968847e-02
