r   Pr
0                        4e-01
3.003003003002824300e-03 3.989404815693529116e-01
9.009009009008916991e-03 3.989260912047056240e-01
1.501501501501500968e-02 3.988973120326366195e-01
2.102102102102110237e-02 3.988541471673160421e-01
2.702702702702719506e-02 3.987966012792973913e-01
3.303303303303284366e-02 3.987246805946747519e-01
3.903903903903893635e-02 3.986383928939604138e-01
4.504504504504502904e-02 3.985377475106819389e-01
5.105105105105112173e-02 3.984227553296995628e-01
5.705705705705721442e-02 3.982934287852441524e-01
6.306306306306286302e-02 3.981497818586765547e-01
6.906906906906895571e-02 3.979918300759681116e-01
7.507507507507504840e-02 3.978195905049041192e-01
8.108108108108114109e-02 3.976330817520098981e-01
8.708708708708723378e-02 3.974323239592010282e-01
9.309309309309288238e-02 3.972173388001576932e-01
9.909909909909897507e-02 3.969881494764251895e-01
1.051051051051050678e-01 3.967447807132408188e-01
1.111111111111111605e-01 3.964872587550880012e-01
1.171171171171172531e-01 3.962156113609796582e-01
1.231231231231229017e-01 3.959298677994713134e-01
1.291291291291289944e-01 3.956300588434050192e-01
1.351351351351350871e-01 3.953162167643863856e-01
1.411411411411411798e-01 3.949883753269949893e-01
1.471471471471472725e-01 3.946465697827302166e-01
1.531531531531529211e-01 3.942908368636942606e-01
1.591591591591590138e-01 3.939212147760129956e-01
1.651651651651651065e-01 3.935377431929975578e-01
1.711711711711711992e-01 3.931404632480471895e-01
1.771771771771772919e-01 3.927294175272958987e-01
1.831831831831829405e-01 3.923046500620047117e-01
1.891891891891890332e-01 3.918662063207006274e-01
1.951951951951951258e-01 3.914141332010657170e-01
2.012012012012012185e-01 3.909484790215768668e-01
2.072072072072073112e-01 3.904692935128991071e-01
2.132132132132134039e-01 3.899766278090344707e-01
2.192192192192190525e-01 3.894705344382287659e-01
2.252252252252251452e-01 3.889510673136380992e-01
2.312312312312312379e-01 3.884182817237576968e-01
2.372372372372373306e-01 3.878722343226160829e-01
2.432432432432434233e-01 3.873129831197351658e-01
2.492492492492490719e-01 3.867405874698614521e-01
2.552552552552551646e-01 0.000000000000000000e+00
2.612612612612612573e-01 0.000000000000000000e+00
2.672672672672673500e-01 0.000000000000000000e+00
2.732732732732734426e-01 0.000000000000000000e+00
2.792792792792790912e-01 0.000000000000000000e+00
2.852852852852851839e-01 0.000000000000000000e+00
2.912912912912912766e-01 0.000000000000000000e+00
2.972972972972973693e-01 0.000000000000000000e+00
3.033033033033034620e-01 0.000000000000000000e+00
3.093093093093091106e-01 0.000000000000000000e+00
3.153153153153152033e-01 0.000000000000000000e+00
3.213213213213212960e-01 0.000000000000000000e+00
3.273273273273273887e-01 0.000000000000000000e+00
3.333333333333334814e-01 0.000000000000000000e+00
3.393393393393391300e-01 0.000000000000000000e+00
3.453453453453452227e-01 0.000000000000000000e+00
3.513513513513513153e-01 0.000000000000000000e+00
3.573573573573574080e-01 0.000000000000000000e+00
3.633633633633635007e-01 0.000000000000000000e+00
3.693693693693691493e-01 0.000000000000000000e+00
3.753753753753752420e-01 0.000000000000000000e+00
3.813813813813813347e-01 0.000000000000000000e+00
3.873873873873874274e-01 0.000000000000000000e+00
3.933933933933935201e-01 0.000000000000000000e+00
3.993993993993991687e-01 0.000000000000000000e+00
4.054054054054052614e-01 0.000000000000000000e+00
4.114114114114113541e-01 0.000000000000000000e+00
4.174174174174174468e-01 0.000000000000000000e+00
4.234234234234235394e-01 0.000000000000000000e+00
4.294294294294291880e-01 0.000000000000000000e+00
4.354354354354352807e-01 0.000000000000000000e+00
4.414414414414413734e-01 0.000000000000000000e+00
4.474474474474474661e-01 0.000000000000000000e+00
4.534534534534535588e-01 0.000000000000000000e+00
4.594594594594596515e-01 0.000000000000000000e+00
4.654654654654653001e-01 0.000000000000000000e+00
4.714714714714713928e-01 0.000000000000000000e+00
4.774774774774774855e-01 0.000000000000000000e+00
4.834834834834835782e-01 0.000000000000000000e+00
4.894894894894896709e-01 0.000000000000000000e+00
4.954954954954953195e-01 0.000000000000000000e+00
5.015015015015014122e-01 3.518007160790312948e-01
5.075075075075075048e-01 3.507363531815973490e-01
5.135135135135135975e-01 3.496625971888309148e-01
5.195195195195196902e-01 3.485795542023801263e-01
5.255255255255253388e-01 3.474873310006002525e-01
5.315315315315314315e-01 3.463860350210746786e-01
5.375375375375375242e-01 3.452757743430727166e-01
5.435435435435436169e-01 3.441566576699460756e-01
